area_name,count,percent
Москва,2108713,0.33299%
Санкт-Петербург,644114,0.10171%
Минск,231330,0.03653%
Новосибирск,151775,0.02397%
Киев,140490,0.02218%
Екатеринбург,138936,0.02194%
Нижний Новгород,132234,0.02088%
Алматы,126952,0.02005%
Казань,124811,0.01971%
Воронеж,105241,0.01662%
Краснодар,93283,0.01473%
Ростов-на-Дону,85762,0.01354%
Самара,83108,0.01312%
Пермь,64501,0.01019%
Уфа,57764,0.00912%
Челябинск,50974,0.00805%
Красноярск,49725,0.00785%
Саратов,46042,0.00727%
Омск,43558,0.00688%
Томск,40665,0.00642%
Нур-Султан,40091,0.00633%
Ярославль,37512,0.00592%
Волгоград,36929,0.00583%
Ижевск,36449,0.00576%
Тула,34650,0.00547%
Тюмень,34279,0.00541%
Ульяновск,29524,0.00466%
Иркутск,29056,0.00459%
Ташкент,28780,0.00454%
Тверь,28681,0.00453%
Рязань,27613,0.00436%
Владивосток,27330,0.00432%
Калининград,25182,0.00398%
Барнаул,24471,0.00386%
Пенза,23558,0.00372%
Хабаровск,23036,0.00364%
Белгород,22563,0.00356%
Владимир,21869,0.00345%
Тольятти,21173,0.00334%
Киров (Кировская область),20822,0.00329%
Харьков,20583,0.00325%
Чебоксары,19390,0.00306%
Набережные Челны,19206,0.00303%
Липецк,19150,0.00302%
Иваново (Ивановская область),17033,0.00269%
Оренбург,17031,0.00269%
Сочи,16831,0.00266%
Калуга,16758,0.00265%
Кемерово,16600,0.00262%
Брянск,16037,0.00253%
Астана,15826,0.00250%
Курск,15363,0.00243%
Ставрополь,15100,0.00238%
Смоленск,13287,0.00210%
Симферополь,12788,0.00202%
Тамбов,12706,0.00201%
Зеленоград,12602,0.00199%
Орел,12187,0.00192%
Днепр (Днепропетровск),12042,0.00190%
Кострома,11979,0.00189%
Севастополь,11745,0.00185%
Вологда,11650,0.00184%
Караганда,11205,0.00177%
Львов,11100,0.00175%
Новокузнецк,10912,0.00172%
Одесса,10869,0.00172%
Таганрог,10640,0.00168%
Йошкар-Ола,10507,0.00166%
Астрахань,9642,0.00152%
Саранск,9394,0.00148%
Гомель,9053,0.00143%
Архангельск,8182,0.00129%
Брест,8156,0.00129%
Великий Новгород,8008,0.00126%
Бишкек,7990,0.00126%
Подольск (Московская область),7895,0.00125%
Химки,7888,0.00125%
