area_name,count,percent
Москва,83716,29.31345
Санкт-Петербург,26837,9.39707
Минск,9874,3.45742
Новосибирск,6544,2.29140
Казань,6489,2.27215
Алматы,6116,2.14154
Екатеринбург,5828,2.04069
Нижний Новгород,5589,1.95701
Воронеж,4659,1.63137
Ростов-на-Дону,4598,1.61001
Киев,4555,1.59495
Краснодар,4400,1.54068
Самара,3999,1.40026
Красноярск,2971,1.04031
Уфа,2856,1.00004
Челябинск,2645,0.92616
Нур-Султан,2211,0.77419
Ярославль,2118,0.74163
Иркутск,2111,0.73917
Пермь,2110,0.73882
Омск,2097,0.73427
Владивосток,2055,0.71957
Саратов,2018,0.70661
Тюмень,1860,0.65129
Ижевск,1757,0.61522
Волгоград,1736,0.60787
Барнаул,1646,0.57635
Томск,1621,0.56760
Хабаровск,1605,0.56200
Тула,1560,0.54624
Белгород,1381,0.48356
Тверь,1342,0.46991
Рязань,1282,0.44890
Ташкент,1201,0.42053
Тольятти,1193,0.41773
Калининград,1189,0.41633
Ульяновск,1129,0.39532
Набережные Челны,1115,0.39042
Оренбург,1102,0.38587
Пенза,1102,0.38587
Липецк,1087,0.38062
Киров (Кировская область),998,0.34945
Кемерово,990,0.34665
Курск,976,0.34175
Владимир,972,0.34035
Ставрополь,937,0.32809
Сочи,926,0.32424
Иваново (Ивановская область),813,0.28467
Чебоксары,796,0.27872
Астана,794,0.27802
Симферополь,788,0.27592
Караганда,736,0.25771
Зеленоград,733,0.25666
Подольск (Московская область),705,0.24686
Кострома,700,0.24511
Новокузнецк,668,0.23390
Смоленск,667,0.23355
Химки,666,0.23320
Брянск,631,0.22095
Калуга,584,0.20449
Астрахань,561,0.19644
Орел,553,0.19363
Чита,537,0.18803
Вологда,522,0.18278
Мытищи,518,0.18138
Улан-Удэ,490,0.17158
Харьков,488,0.17087
Череповец,464,0.16247
Домодедово,459,0.16072
Саранск,459,0.16072
Люберцы,449,0.15722
Тамбов,449,0.15722
Одинцово,446,0.15617
Сургут,442,0.15477
Севастополь,436,0.15267
Красногорск,417,0.14601
Днепр (Днепропетровск),412,0.14426
Магнитогорск,411,0.14391
Мурманск,411,0.14391
Архангельск,407,0.14251
Балашиха,402,0.14076
Брест,402,0.14076
Йошкар-Ола,393,0.13761
Великий Новгород,393,0.13761
Шымкент,386,0.13516
Таганрог,381,0.13341
Бишкек,379,0.13271
Благовещенск (Амурская область),356,0.12465
Пятигорск,331,0.11590
Обнинск,321,0.11240
Петрозаводск,317,0.11100
Дзержинск (Нижегородская область),314,0.10995
Щелково,312,0.10925
Гомель,306,0.10715
Королев,305,0.10680
Псков,302,0.10575
Новороссийск,300,0.10505
Нижневартовск,283,0.09909
Гродно,279,0.09769
Южно-Сахалинск,279,0.09769
Курган,278,0.09734
Одесса,270,0.09454
Костанай,266,0.09314
Энгельс,262,0.09174
Павлодар,262,0.09174
Усть-Каменогорск,255,0.08929
Витебск,254,0.08894
Старый Оскол,245,0.08579
Могилев,234,0.08194
Актобе,226,0.07913
Долгопрудный,225,0.07878
Волжский(Волгоградская область),223,0.07808
Атырау,219,0.07668
Новый Уренгой,219,0.07668
Магадан,215,0.07528
Раменское,213,0.07458
Анапа,210,0.07353
Абакан,206,0.07213
Ногинск,206,0.07213
Норильск,202,0.07073
Солнечногорск,200,0.07003
Махачкала,196,0.06863
Львов,195,0.06828
Сыктывкар,193,0.06758
Петропавловск-Камчатский,193,0.06758
Пушкино (Московская область),187,0.06548
Лобня,183,0.06408
Уральск,175,0.06128
Альметьевск,173,0.06058
Якутск,172,0.06023
Жуковский,171,0.05988
Стерлитамак,167,0.05848
Ханты-Мансийск,162,0.05672
Братск,162,0.05672
Актау,160,0.05602
Истра,159,0.05567
Адлер,157,0.05497
Дмитров,157,0.05497
Россия,156,0.05462
Сергиев Посад,152,0.05322
Наро-Фоминск,150,0.05252
Бийск,150,0.05252
Запорожье,149,0.05217
Новочеркасск,148,0.05182
Коломна,148,0.05182
Видное,145,0.05077
Волжский (Волгоградская область),143,0.05007
Нижнекамск,142,0.04972
Орск,138,0.04832
Чехов,132,0.04622
Московская область - Север,132,0.04622
Артем,129,0.04517
Электросталь,129,0.04517
Нижний Тагил,125,0.04377
Петропавловск,123,0.04307
Серпухов,123,0.04307
Клин,122,0.04272
Ангарск,120,0.04202
Владикавказ,115,0.04027
Минеральные Воды,114,0.03992
Комсомольск-на-Амуре,114,0.03992
Дубна,114,0.03992
Московская область - Восток,113,0.03957
Шахты,112,0.03922
Ковров,111,0.03887
Елабуга,111,0.03887
Донецк (Украина),110,0.03852
Армавир,110,0.03852
Березовский (Свердловская область),110,0.03852
Голицыно,109,0.03817
Железнодорожный,109,0.03817
Тараз,109,0.03817
Бердск,108,0.03782
Кстово,108,0.03782
Батайск,104,0.03642
Майкоп,101,0.03537
Нефтеюганск,100,0.03502
Кингисепп,98,0.03432
Новомосковск (Тульская область),98,0.03432
Верхняя Пышма,97,0.03396
Тбилиси,97,0.03396
Семей,96,0.03361
Рыбинск,96,0.03361
Ялта,95,0.03326
Талдыкорган,94,0.03291
Волгодонск,93,0.03256
Уссурийск,93,0.03256
Находка,92,0.03221
Миасс,92,0.03221
Ступино,90,0.03151
Нефтекамск,89,0.03116
Северодвинск,88,0.03081
Московская область - Юг,87,0.03046
Иннополис,85,0.02976
Азов,84,0.02941
Аксай (Ростовская область),83,0.02906
Кокшетау,82,0.02871
Геленджик,82,0.02871
Кубинка,82,0.02871
Зеленодольск (Республика Татарстан),80,0.02801
Балаково,80,0.02801
Центральный округ,79,0.02766
Ухта,79,0.02766
Колпино,78,0.02731
Орехово-Зуево,78,0.02731
Лаишево,76,0.02661
Новокуйбышевск,75,0.02626
Белово,75,0.02626
Арзамас,74,0.02591
Николаев,74,0.02591
Реутов,73,0.02556
Тобольск,73,0.02556
Златоуст,73,0.02556
Всеволожск,72,0.02521
Гатчина,71,0.02486
Ессентуки,71,0.02486
Елец,70,0.02451
Железногорск (Курская область),70,0.02451
Московская область - Запад,70,0.02451
Муром,70,0.02451
Краснознаменск (Московская область),69,0.02416
Октябрьский (Республика Башкортостан),69,0.02416
Винница,69,0.02416
Малоярославец,68,0.02381
Шебекино,68,0.02381
Свободный,68,0.02381
Щербинка,67,0.02346
Темрюк,67,0.02346
Кипр,67,0.02346
Ноябрьск,66,0.02311
Климовск (Московская область),66,0.02311
Троицк (Московская область),66,0.02311
Ивантеевка,65,0.02276
Горно-Алтайск,64,0.02241
Черкесск,64,0.02241
Звенигород,64,0.02241
Димитровград,62,0.02171
Сызрань,62,0.02171
Коркино,61,0.02136
Волжск,61,0.02136
США,60,0.02101
Нахабино,60,0.02101
Фрязино,60,0.02101
Салехард,60,0.02101
Искитим,58,0.02031
Воскресенск,58,0.02031
Первоуральск,58,0.02031
Новочебоксарск,58,0.02031
Егорьевск,58,0.02031
Кашира,57,0.01996
Котельники,57,0.01996
Армения,57,0.01996
Керчь,57,0.01996
Невинномысск,56,0.01961
Березники,56,0.01961
Усть-Кут,54,0.01891
Салават,54,0.01891
Баку,53,0.01856
Новошахтинск,53,0.01856
Копейск,52,0.01821
Каменск-Уральский,52,0.01821
Кызылорда,52,0.01821
Саров,51,0.01786
Александров,51,0.01786
Старая Купавна,51,0.01786
Павловск (Воронежская область),50,0.01751
Ачинск,50,0.01751
Бронницы,49,0.01716
Евпатория,49,0.01716
Можайск,48,0.01681
Борисов,48,0.01681
Апатиты,48,0.01681
Обь,48,0.01681
Нальчик,48,0.01681
Бузулук,47,0.01646
Ленинск-Кузнецкий,47,0.01646
Барановичи,47,0.01646
Кисловодск,46,0.01611
Балабаново,46,0.01611
Динская станица,45,0.01576
Сарапул,44,0.01541
Дзержинский,44,0.01541
Дзержинск (Беларусь),44,0.01541
Темиртау,44,0.01541
Руза,43,0.01506
Еманжелинск,43,0.01506
Великие Луки,43,0.01506
Прокопьевск,43,0.01506
Кириши,43,0.01506
Михайловск (Ставропольский край),42,0.01471
Павловский Посад,42,0.01471
Дедовск,42,0.01471
Новоалтайск,42,0.01471
Апрелевка,41,0.01436
Бугульма,41,0.01436
Усть-Лабинск,40,0.01401
Гусь-Хрустальный,40,0.01401
Южноуральск,40,0.01401
Черкассы,39,0.01366
Красный Сулин,39,0.01366
Выборг,39,0.01366
Элиста,39,0.01366
Рудный,38,0.01331
Новополоцк,38,0.01331
Каменск-Шахтинский,38,0.01331
Покров,38,0.01331
Шуя,38,0.01331
Белогорск,37,0.01296
Молодечно,37,0.01296
Алушта,36,0.01261
Крымск,36,0.01261
Солигорск,36,0.01261
Ржев,36,0.01261
Бор,36,0.01261
Нягань,35,0.01226
Кропоткин,35,0.01226
Переславль-Залесский,35,0.01226
Луховицы,35,0.01226
Шелехов,34,0.01191
Среднеуральск,34,0.01191
Узловая,34,0.01191
Георгиевск,34,0.01191
Бобруйск,34,0.01191
Мирный (Республика Саха (Якутия)),33,0.01156
Лабинск,33,0.01156
Пушкин,33,0.01156
Мичуринск,33,0.01156
Полтава,33,0.01156
Гусев,33,0.01156
Северск (Томская область),33,0.01156
Сербия,33,0.01156
Белореченск,33,0.01156
Щекино,33,0.01156
Тосно,32,0.01120
Ростов (Ярославская область),32,0.01120
Балахна,32,0.01120
Полоцк,31,0.01085
Лида,31,0.01085
Туапсе,31,0.01085
Россошь,31,0.01085
Кимры,31,0.01085
Богородск,31,0.01085
Тимашевск,30,0.01050
Тихорецк,30,0.01050
Славянск-на-Кубани,30,0.01050
Экибастуз,30,0.01050
Губкин,30,0.01050
Курчатов,30,0.01050
Чайковский,30,0.01050
Лыткарино,30,0.01050
Нерюнгри,30,0.01050
Полысаево,30,0.01050
Чернигов,30,0.01050
Кривой Рог,30,0.01050
Пинск,29,0.01015
Усинск,29,0.01015
Выкса,29,0.01015
Железноводск,29,0.01015
Жуков,28,0.00980
Камышин,28,0.00980
Строитель (Белгородская область),28,0.00980
Сосновый Бор,28,0.00980
Грозный,28,0.00980
Кореновск,28,0.00980
Железногорск (Красноярский край),28,0.00980
Боровск,28,0.00980
Заволжье,27,0.00945
Черногорск,27,0.00945
Тамань,27,0.00945
Ломоносов,27,0.00945
Киржач,27,0.00945
Соликамск,27,0.00945
Украина,27,0.00945
Селятино,27,0.00945
Белорецк,27,0.00945
Когалым,26,0.00910
Кызыл,26,0.00910
Елизово,26,0.00910
Зарайск,26,0.00910
Шатура,26,0.00910
Саяногорск,26,0.00910
Кунгур,26,0.00910
Осинники,25,0.00875
Алексеевка,25,0.00875
Батуми,25,0.00875
Новотроицк (Оренбургская область),25,0.00875
Бахчисарай,25,0.00875
Протвино,25,0.00875
Нововоронеж,25,0.00875
Сестрорецк,25,0.00875
Хмельницкий,25,0.00875
Удомля,25,0.00875
Черноголовка,25,0.00875
Электроугли,25,0.00875
Анадырь,24,0.00840
Хотьково,24,0.00840
Минусинск,24,0.00840
Жезказган,24,0.00840
Павловская Слобода,24,0.00840
Муравленко,24,0.00840
Железногорск-Илимский,24,0.00840
Людиново,24,0.00840
Ейск,24,0.00840
Юрга,24,0.00840
Губкинский,24,0.00840
Бровары,24,0.00840
Джанкой,24,0.00840
Гурьевск (Калининградская область),24,0.00840
Кинель,24,0.00840
Кирово-Чепецк,24,0.00840
Германия,24,0.00840
Рубцовск,24,0.00840
Туймазы,23,0.00805
Усть-Илимск,23,0.00805
Нижегородская область,23,0.00805
Воткинск,23,0.00805
Лиски,23,0.00805
Кировск (Ленинградская область),23,0.00805
Самарканд,23,0.00805
Житомир,23,0.00805
Ишимбай,23,0.00805
Мозырь,22,0.00770
Кыштым,22,0.00770
Кронштадт,22,0.00770
Гуково,22,0.00770
Лысково,22,0.00770
Ишим,22,0.00770
Феодосия,22,0.00770
Кольчугино,22,0.00770
Кузнецк,22,0.00770
Московский,21,0.00735
Мценск,21,0.00735
Черняховск,21,0.00735
Абинск,21,0.00735
Беларусь,21,0.00735
Тихвин,21,0.00735
Почеп,21,0.00735
Киселевск,21,0.00735
Суздаль,21,0.00735
Новоуральск,21,0.00735
ОАЭ,21,0.00735
Собинка,21,0.00735
Яблоновский (Республика Адыгея),21,0.00735
Зверево,21,0.00735
Канск,20,0.00700
Ялуторовск,20,0.00700
Краснокамск,20,0.00700
Полевской,20,0.00700
Благовещенск (Республика Башкортостан),20,0.00700
Торжок,20,0.00700
Большой Камень,20,0.00700
Конаково,20,0.00700
Борисоглебск,20,0.00700
Мегион,20,0.00700
Анжеро-Судженск,20,0.00700
Ипатово,20,0.00700
Североморск,19,0.00665
Менделеевск,19,0.00665
Донской,19,0.00665
Заводоуковск,19,0.00665
Стрежевой,19,0.00665
Луганск,19,0.00665
Шумерля,19,0.00665
Туркестан,19,0.00665
Толмачево,19,0.00665
Лосино-Петровский,19,0.00665
Мончегорск,19,0.00665
Куровское,19,0.00665
Кировоград,19,0.00665
Кимовск,19,0.00665
Жигулевск,19,0.00665
Калач,19,0.00665
Биробиджан,19,0.00665
Каспийск,18,0.00630
Донецк,18,0.00630
Жлобин,18,0.00630
Ванино,18,0.00630
Софрино,18,0.00630
Миллерово,18,0.00630
Вязьма,18,0.00630
Вязники,18,0.00630
Малая Вишера,18,0.00630
Тернополь,18,0.00630
Мариуполь,18,0.00630
Новотитаровская,18,0.00630
Радужный (Владимирская область),18,0.00630
Надым,18,0.00630
Морозовск,18,0.00630
Волоколамск,18,0.00630
Линево (Новосибирская область),18,0.00630
Троицк (Челябинская область),18,0.00630
Томилино,18,0.00630
Херсон,18,0.00630
Ефремов,18,0.00630
Серов,17,0.00595
Каскелен,17,0.00595
Красноармейск (Московская область),17,0.00595
Усолье-Сибирское,17,0.00595
Сосновый Бор (Ленинградская область),17,0.00595
Павлово,17,0.00595
Таиланд,17,0.00595
Семилуки,17,0.00595
Белая Калитва,17,0.00595
Алексин,17,0.00595
Афипский,17,0.00595
Грязи,17,0.00595
Лакинск,17,0.00595
Сосновоборск,17,0.00595
Пойковский,17,0.00595
Сумы,17,0.00595
Борисполь,17,0.00595
Республика Татарстан,17,0.00595
Глазов,17,0.00595
Петушки,17,0.00595
Красное Село,16,0.00560
Междуреченск,16,0.00560
Краснообск,16,0.00560
Каневская,16,0.00560
Семикаракорск,16,0.00560
Крекшино,16,0.00560
Тучково,16,0.00560
Тарко-Сале,16,0.00560
Китай,16,0.00560
Арсеньев,16,0.00560
Сухой Лог,16,0.00560
Быково (Московская область),16,0.00560
Петергоф,16,0.00560
Ликино-Дулево,16,0.00560
Советская Гавань,16,0.00560
Воркута,15,0.00525
Белоусово,15,0.00525
Озеры,15,0.00525
Черновцы,15,0.00525
Ленинградская область,15,0.00525
Озерск (Челябинская область),15,0.00525
Ленинградская станица,15,0.00525
Заринск,15,0.00525
Жодино,15,0.00525
Усть-Луга,15,0.00525
Яхрома,15,0.00525
Богучаны,15,0.00525
Буденновск,15,0.00525
Горячий Ключ,15,0.00525
Павловск (Ленинградская область),15,0.00525
Валуйки,14,0.00490
Изобильный,14,0.00490
Ярцево,14,0.00490
Великий Устюг,14,0.00490
Агинское (Забайкальский АО),14,0.00490
Азнакаево,14,0.00490
Орша,14,0.00490
Белебей,14,0.00490
Саки,14,0.00490
Московская область,14,0.00490
Судак,14,0.00490
Светлогорск (Калининградская область),14,0.00490
Богучар,14,0.00490
Польша,14,0.00490
Кодинск,14,0.00490
Кокошкино,14,0.00490
Боровичи,14,0.00490
Ирбит,14,0.00490
Учалы,14,0.00490
Арамиль,14,0.00490
Кинешма,14,0.00490
Камешково,14,0.00490
Заречный (Свердловская область),14,0.00490
Городец,14,0.00490
Чапаевск,14,0.00490
Ворсино (Калужская область),14,0.00490
