area_name,salary
Московская область,294199.818
Литва,281150.160
Германия,279219.150
Витебск,256535.384
Финляндия,219588.950
Кипр,205364.440
ОАЭ,181178.724
Польша,167234.695
Тбилиси,152446.595
Бельгия,151749.000
Латвия,140399.108
Испания,133560.750
Снежное,130000.000
Молоково,130000.000
Армения,128508.824
Усть-Нера,128333.333
США,125357.488
Сербия,120824.131
Ильинский (Московская область),120000.000
"Мирный (Московская область, Люберецкий район)",115000.000
"Октябрьский (Московская область, Люберецкий район)",115000.000
Певек,112500.000
Эквадор,111250.000
Ноглики,110000.000
Петропавловка (Республика Бурятия),100000.000
Шимановск,100000.000
Нарткала,100000.000
Мухоршибирь,100000.000
Октябрьский (Пермский край),99000.000
Малайзия,97700.700
Николаевск-на-Амуре,95500.000
Батуми,95149.296
Запрудня (Московская область),93500.000
Турция,92782.364
Нерюнгри,91060.000
Солнцево (Московская область),90500.000
Саянский,90000.000
Куркино (Московская область),90000.000
Ильинское,90000.000
Бодайбо,90000.000
Зея,90000.000
Воротынск,90000.000
Байкальск,90000.000
Китай,88859.900
Ковдор,88000.000
Томмот,87500.000
Тиличики,86666.667
Кедровый (Красноярский край),86000.000
Забайкальск,85000.000
Новый Уренгой,83102.399
Корсаков,82500.000
Таиланд,81925.808
"Речицы (Московская область, Раменский район)",81666.667
Тында,81250.000
Сабетта (Ямало-Ненецкий АО),80937.500
Понежукай,80000.000
Хатукай,80000.000
Лорино (Чукотский АО),80000.000
Орлово,80000.000
Крым (Ростовская область),80000.000
Тлюстенхабль,80000.000
Ямбург (Ямало-Ненецкий АО),80000.000
Энем,80000.000
Усть-Луга,79166.667
Софьино (Раменский район),78750.000
Ильинское (Раменский район),78750.000
Коканд,78195.175
Чехия,76860.695
Баку,76686.959
Усть-Большерецк,76666.667
Эстония,76496.700
Дудинка (Красноярский край),76300.000
Ленск,75800.000
Путилково,75666.667
Анадырь,75666.667
Магадан,75355.614
Кузьмоловский,75000.000
Лайково,75000.000
Октябрьский (Камчатский край),75000.000
Большие Вязёмы,75000.000
Калининец,75000.000
Горки-2,75000.000
ВНИИССОК,75000.000
Чирчик,74932.327
Коротчаево,74800.000
Мурино,74583.333
Нарьян-Мар,74000.000
Коммунарка,74000.000
Северо-Енисейский (Красноярский край),73500.000
Норильск,73247.368
"Горки-10 (Московская область, Одинцовский район)",73125.000
Ровно,72669.500
Зеленоград,72520.511
Гурьевск (Кемеровская область),72500.000
Олекминск,72488.000
Мирный (Республика Саха (Якутия)),72415.385
Первомайское (Ленинградская область),72333.333
Нидерланды,71615.371
Дальнереченск,71000.000
Лучегорск,71000.000
Киевский,70833.333
Надым,70766.667
Московский,70532.500
Малиновский,70000.000
Зеленоборск,70000.000
Лямина,70000.000
Каркатеевы,70000.000
Еткуль,70000.000
Локосово,70000.000
Перегребное,70000.000
Саянск,70000.000
Октябрьское (Ханты-Мансийский АО),70000.000
Луговой,70000.000
Октябрьский (Иркутская область),70000.000
Лыхма,70000.000
Барвиха,70000.000
Малый Атлым,70000.000
Белый Яр (Ханты-Мансийский АО),70000.000
Ларьяк,70000.000
Низино (Ленинградская область),70000.000
Велиж,70000.000
Верхнеказымский,70000.000
Сретенск,70000.000
Барсово,70000.000
Карымкары,70000.000
Бея,70000.000
Излучинск,70000.000
Агириш,70000.000
Казым,70000.000
Андра,70000.000
Алтай (Ханты-Мансийский АО - Югра),70000.000
Алябьевский,70000.000
Игрим,70000.000
Берёзово,70000.000
Горбунки,70000.000
Горноправдинск,70000.000
Мортка,70000.000
Междуреченский (Ханты-Мансийский АО),70000.000
Коммунистический,70000.000
Коммунар,70000.000
Кондинское,70000.000
Болчары,70000.000
Нижнесортымский,70000.000
Краснокаменск,70000.000
Красноленинский,70000.000
Куминский,70000.000
Нялинское,70000.000
Новоаганск,70000.000
Куть-Ях,70000.000
Высокий Мыс,70000.000
Высокий,70000.000
Пионерский (Ханты-Мансийский АО),70000.000
Кола,69900.000
Софрино,69815.625
Долгопрудный,69413.194
Раменское,69016.129
Томилино,69000.000
Тазовский,69000.000
Свободный,68931.034
Грузия,68929.100
Новый (Приморский край),68666.667
Рощино (Ленинградская область),68500.000
Химки,68403.288
Малаховка (Московская область),68181.818
Островцы (Московская область),68125.000
Свердловская область,67839.880
Кубинка,67511.290
Балашиха,67199.390
Нахабино,67121.212
Королев,67118.959
Отрадное,67000.000
"Михнево (Московская область, Ступинский район)",66666.667
Тахтамукай,66666.667
Москва,66655.394
Дубна,66264.935
Электроугли,66261.538
Черноголовка,66107.692
Вольно-Надеждинское,66062.500
Большой Камень,66000.000
Сертолово,65950.000
Лесной Городок,65916.667
Колпино,65735.156
Красногорск,65709.140
Мытищи,65632.629
Одинцово,65536.053
Южно-Сахалинск,65470.817
Кингисепп,65398.507
Подольск (Московская область),65124.684
Вилючинск,65000.000
Смолино,65000.000
Новая Игирма,65000.000
Рудногорск,65000.000
Алдан,65000.000
Деденево,65000.000
Петропавловск-Камчатский,64891.216
Якутск,64697.509
Жуковка (Московская область),64444.444
Люберцы,64170.367
Горки Ленинские,64166.667
Лобня,64001.059
Салехард,63996.774
Реутов,63831.579
Звенигород,63392.674
Верховажье,63000.000
посёлок Володарского (Московская область),63000.000
Апатиты,62961.184
Бахрейн,62956.125
Ломоносов,62904.762
Жуковский,62695.128
ДСК Мичуринец,62500.000
Софьино (Наро-Фоминский район),62500.000
Антропово,62500.000
Новая Адыгея,62500.000
Лыткарино,62245.455
Домодедово,61932.538
Пойковский,61666.667
Щелково,61571.789
Видное,61550.219
Истра,61467.322
Павловск (Ленинградская область),61339.286
Северобайкальск,61285.714
